2019-11-06 14:36:46 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：【[username=admin, password=admin123456]】
2019-11-06 14:36:47 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：【[username=admin, password=admin1234567]】
2019-11-06 14:39:17 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin123456]�?
2019-11-06 14:39:17 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin1234567]�?
2019-11-06 14:43:42 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin123456]�?
2019-11-06 14:43:43 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin1234567]�?
2019-11-06 14:51:45 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin123456]�?
2019-11-06 14:51:45 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin1234567]�?
2019-11-06 14:53:54 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin123456]�?
2019-11-06 14:53:55 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin1234567]�?
2019-11-06 14:57:07 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin123456]�?
2019-11-06 14:57:07 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin1234567]�?
2019-11-06 15:15:34 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin123456]�?
2019-11-06 15:15:34 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin1234567]�?
2019-11-06 15:25:47 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin123456]�?
2019-11-06 15:25:47 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin1234567]�?
2019-11-06 15:37:08 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin123456]�?
2019-11-06 15:37:08 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：�?[username=admin, password=admin1234567]�?
2019-11-06 15:44:57 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：【[username=admin, password=admin123456]】
2019-11-06 15:44:57 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：【[username=admin, password=admin1234567]】
2019-11-06 15:48:58 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：【[username=admin, password=admin123456]】
2019-11-06 15:48:58 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：【[username=admin, password=admin1234567]】
2019-11-06 15:51:29 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：【[username=admin, password=admin123456]】
2019-11-06 15:51:30 method: apitest.cases.LoginTest.login(LoginTest.java:42)----[ INFO ]----参数是：【[username=admin, password=admin1234567]】
